ID_ESTAC,NOM_ESTACIO,NOM_ORIGINAL,DATA_DIA,DATA_EXTRACCIO,URL_FONT,GRUIX_NEU_MAX,HUMITAT_MITJANA_DIA,PRECIPITACIO_ACUM_DIA,PRESSIO_ATMOSFERICA,RADIACIO_GLOBAL,RATXA_VENT_MAX,TEMPERATURA_MAXIMA_DIA,TEMPERATURA_MINIMA_DIA,TEMPERATURA_MITJANA_DIA
Z7,Espot (2.519 m),ESPOT_2519_M_Z7,2026-02-07,2026-02-07 17:59:37,https://www.meteo.cat/observacions/xema/dades?codi=Z7&dia=2026-02-07T09:00Z,67 cm,59%,0.4 mm,,8.6 MJ/m2,49.7 km/h - 249º 16:23 TU,-3.5 °C 14:01 TU,-8.3 °C 7:14 TU,-5.6 °C
X1,Falset,FALSET_X1,2026-02-07,2026-02-07 17:59:39,https://www.meteo.cat/observacions/xema/dades?codi=X1&dia=2026-02-07T09:00Z,,71%,0.3 mm,1007.8 hPa,12.0 MJ/m2,47.2 km/h - 292º 11:30 TU,14.2 °C 13:53 TU,5.4 °C 1:42 TU,8.8 °C
KP,Fogars de la Selva,FOGARS_DE_LA_SELVA_KP,2026-02-07,2026-02-07 17:59:42,https://www.meteo.cat/observacions/xema/dades?codi=KP&dia=2026-02-07T09:00Z,,63%,0.0 mm,,,,17.8 °C 13:53 TU,2.6 °C 3:43 TU,10.9 °C
XK,Fogars de Montclús - Puig Sesolles (1.668 m),FOGARS_DE_MONTCLUS___PUIG_SESOLLES_1668_M_XK,2026-02-07,2026-02-07 17:59:44,https://www.meteo.cat/observacions/xema/dades?codi=XK&dia=2026-02-07T09:00Z,2 cm,80%,0.0 mm,,12.8 MJ/m2,59.8 km/h - 257º 0:00 TU,3.3 °C 7:57 TU,-1.6 °C 17:29 TU,0.6 °C
DI,Font-rubí,FONT_RUBI_DI,2026-02-07,2026-02-07 17:59:46,https://www.meteo.cat/observacions/xema/dades?codi=DI&dia=2026-02-07T09:00Z,,56%,0.0 mm,1005.5 hPa,12.1 MJ/m2,73.8 km/h - 313º 7:20 TU,13.2 °C 14:20 TU,7.5 °C 17:29 TU,9.5 °C
UO,Fornells de la Selva,FORNELLS_DE_LA_SELVA_UO,2026-02-07,2026-02-07 17:59:49,https://www.meteo.cat/observacions/xema/dades?codi=UO&dia=2026-02-07T09:00Z,,73%,0.0 mm,,,,16.5 °C 13:21 TU,1.7 °C 6:35 TU,9.0 °C
Y4,Fígols i Alinyà - Alinyà,FIGOLS_I_ALINYA___ALINYA_Y4,2026-02-07,2026-02-07 17:59:51,https://www.meteo.cat/observacions/xema/dades?codi=Y4&dia=2026-02-07T09:00Z,,83%,2.1 mm,,,,7.1 °C 15:41 TU,0.4 °C 0:12 TU,2.8 °C
XP,Gandesa,GANDESA_XP,2026-02-07,2026-02-07 17:59:53,https://www.meteo.cat/observacions/xema/dades?codi=XP&dia=2026-02-07T09:00Z,,66%,0.0 mm,,12.2 MJ/m2,34.2 km/h - 300º 10:33 TU,13.1 °C 13:59 TU,5.0 °C 1:45 TU,8.7 °C
VH,Gimenells i el Pla de la Font - Gimenells,GIMENELLS_I_EL_PLA_DE_LA_FONT___GIMENELLS_VH,2026-02-07,2026-02-07 17:59:56,https://www.meteo.cat/observacions/xema/dades?codi=VH&dia=2026-02-07T09:00Z,,78%,0.2 mm,,11.7 MJ/m2,29.5 km/h - 267º 12:01 TU,13.2 °C 14:17 TU,1.7 °C 7:07 TU,7.5 °C
XJ,Girona,GIRONA_XJ,2026-02-07,2026-02-07 17:59:58,https://www.meteo.cat/observacions/xema/dades?codi=XJ&dia=2026-02-07T09:00Z,,69%,0.3 mm,1003.9 hPa,11.6 MJ/m2,22.7 km/h - 194º 11:42 TU,16.6 °C 12:26 TU,2.6 °C 6:14 TU,10.0 °C
